Bankleitzahl;IstDirekthandelsplatz;Anlegertyp;WertpapierKategorieCode;WertpapierKategorieBezeichnung;Die fünf Handelsplätze, die ausgehend vom Handelsvolumen am wichtigsten sind (in absteigender Reihenfolge nach Handelsvolumen);Anteil des Handelsvolumens als Prozentsatz des gesamten Volumens in dieser Kategorie;Anteil der ausgeführten Aufträge als Prozentsatz aller Aufträge in dieser Kategorie;Prozentsatz passiver Aufträge;Prozentsatz aggressiver Aufträge;Prozentsatz gelenkter Aufträge;Angabe, ob im Vorjahr im Durchschnitt < 1 Handelsgeschäft pro Geschäftstag ausgeführt wurde;AUSF_PRO_TAG_TEXT
39000;0;Kleinanleger;EK2;Eigenk. - Liquiditätsbänder 3 und 4;WIENER BOERSE - XVIE; 64,8%; 67,3%; 62,16%; 22,89%;  2,73%;Nein;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;EK2;Eigenk. - Liquiditätsbänder 3 und 4;XETRA-Frankfurt - XETR; 18,4%; 14,5%; 49,72%; 43,65%;  8,29%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;EK2;Eigenk. - Liquiditätsbänder 3 und 4;Frankfurt - XFRA; 10,4%;  9,2%;  0,00%;  0,00%; 79,13%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;EK2;Eigenk. - Liquiditätsbänder 3 und 4;Stuttgart - XSTU;  1,7%;  1,0%;  0,00%;  0,00%; 91,67%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;EK2;Eigenk. - Liquiditätsbänder 3 und 4;Nasdaq Stock Market - XNMS;  1,4%;  2,9%;  0,00%;  0,00%;  0,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;EK3;Eigenk. - Liquiditätsbänder 1 und 2;Frankfurt - XFRA; 22,5%; 29,8%;  0,00%;  0,00%; 64,57%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;EK3;Eigenk. - Liquiditätsbänder 1 und 2;Stuttgart - XSTU; 17,0%;  7,0%;  0,00%;  0,00%; 86,67%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;EK3;Eigenk. - Liquiditätsbänder 1 und 2;XETRA-Frankfurt - XETR; 16,7%; 13,8%; 44,07%; 44,07%; 10,17%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;EK3;Eigenk. - Liquiditätsbänder 1 und 2;NEW YORK STOCK EXCHANGE (NYSE) - XNYS; 14,6%; 16,0%;  0,00%;  0,00%; 54,41%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;EK3;Eigenk. - Liquiditätsbänder 1 und 2;Ljubljanska Borza - XLJU; 13,5%;  4,0%;  0,00%;  0,00%;  0,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;OZ1;Ohne spezifische Zuordnung;NEW YORK STOCK EXCHANGE (NYSE) - XNYS; 35,2%; 64,3%;  0,00%;  0,00%; 40,74%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;OZ1;Ohne spezifische Zuordnung;Macedonian Stock Exchange - XMAE; 35,0%; 11,9%;  0,00%;  0,00%;  0,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;OZ1;Ohne spezifische Zuordnung;XETRA-Frankfurt - XETR; 24,3%; 14,3%; 66,67%;  0,00%;  0,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;OZ1;Ohne spezifische Zuordnung;Frankfurt - XFRA;  3,6%;  2,4%;  0,00%;  0,00%;  0,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;OZ1;Ohne spezifische Zuordnung;Banjalucka Berza - XBLB;  1,8%;  7,1%;  0,00%;  0,00%;  0,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;SI1;Sonstige Instrumente;Stuttgart - XSTU; 55,3%; 34,8%;  0,00%;  0,00%; 62,50%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;SI1;Sonstige Instrumente;Frankfurt - XFRA; 27,3%; 43,5%;  0,00%;  0,00%; 70,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;SI1;Sonstige Instrumente;XETRA-Frankfurt - XETR; 13,4%;  8,7%; 50,00%;  0,00%; 50,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;SI1;Sonstige Instrumente;SIX Swiss Exchange Blue Chip Seg. - XVTX;  4,0%; 13,0%;  0,00%;  0,00%;  0,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;ST1;Schuldtitel - Schuldverschreibungen;Stuttgart - XSTU; 73,3%; 64,4%;  0,00%;  0,00%; 95,52%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;ST1;Schuldtitel - Schuldverschreibungen;WIENER BOERSE - XVIE; 11,7%; 21,2%; 13,64%;  0,00%;  0,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;ST1;Schuldtitel - Schuldverschreibungen;Frankfurt - XFRA;  8,7%;  4,8%;  0,00%;  0,00%; 40,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;ST1;Schuldtitel - Schuldverschreibungen;Bloomberg Trading Facil.(BMTF) - BMTF;  3,1%;  6,7%;  0,00%;  0,00%;100,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;ST1;Schuldtitel - Schuldverschreibungen;BORSA ITALIANA - XMIL;  2,3%;  1,9%;  0,00%;  0,00%;  0,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;VD1;Verbr. Deriv. - OS und Zertifikate;Stuttgart - XSTU; 38,3%; 69,7%;  0,00%;  0,00%;  6,80%;Nein;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;VD1;Verbr. Deriv. - OS und Zertifikate;RAIFFEISEN CENTROBANK AG - CENB; 31,2%; 13,0%;  0,00%;  0,00%;  0,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;VD1;Verbr. Deriv. - OS und Zertifikate;WIENER BOERSE - XVIE; 27,2%; 15,2%;  0,00%;  0,00%;  0,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;VD1;Verbr. Deriv. - OS und Zertifikate;Frankfurt - XFRA;  2,9%;  1,7%;  0,00%;  0,00%;  0,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;VD1;Verbr. Deriv. - OS und Zertifikate;NEW YORK STOCK EXCHANGE (NYSE) - XNYS;  0,5%;  0,5%;  0,00%;  0,00%;  0,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;VD2;Verbr. Deriv. - Sonstige;RAIFFEISEN CENTROBANK AG - CENB; 69,0%; 65,2%;  0,00%;  0,00%;  1,22%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;VD2;Verbr. Deriv. - Sonstige;WIENER BOERSE - XVIE; 30,2%; 34,0%;  0,00%;  0,00%;  0,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;VD2;Verbr. Deriv. - Sonstige;Stuttgart - XSTU;  0,8%;  0,8%;  0,00%;  0,00%; 66,67%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
